Calories,Fat (g),Carb. (g),Fiber (g),Protein,Sodium
45,0,11,0,0,10
80,0,18,1,0,10
60,0,14,1,0,10
110,0,28,0,0,5
0,0,0,0,0,0
130,2.5,21,0,5,65
140,2.5,23,0,5,90
130,2.5,21,0,5,65
80,0,19,0,0,10
60,0,15,0,0,10
150,0,38,0,0,15
140,0,35,0,0,10
140,0,35,0,0,15
150,0,37,0,0,15
70,0,17,0,0,10
120,0,31,0,0,10
140,0,35,0,0,10
60,0,15,0,0,10
120,0,31,0,0,10
140,0,35,0,0,10
150,0,38,0,0,15
140,0,35,0,0,10
30,0,8,0,0,5
70,0,17,0,0,0
30,0,8,0,0,5
70,0,17,0,0,5
30,0,8,0,0,5
90,0,24,0,0,0
60,0,15,0,0,0
130,2.5,21,0,5,65
140,2.5,23,0,5,90
130,2.5,21,0,5,65
90,0,27,0,0,0
90,0,27,0,0,0
210,2.5,33,2,20,115
200,2.5,34,2,20,120
60,0,13,0,1,0
50,0,11,0,1,0
10,0,2,0,1,0
60,0,15,0,0,10
150,0,38,0,0,15
140,0,35,0,0,10
140,0,35,0,0,15
150,0,37,0,0,15
70,0,17,0,0,10
120,0,31,0,0,10
140,0,35,0,0,10
60,0,15,0,0,10
120,0,31,0,0,10
140,0,35,0,0,10
150,0,38,0,0,15
140,0,35,0,0,10
5,0,0,0,1,10
10,0,0,0,1,10
5,0,0,0,1,10
5,0,0,0,1,10
5,0,0,0,0,5
5,0,0,0,0,15
0,0,0,0,0,0
5,0,0,0,0,10
70,5,5,0,1,20
5,0,0,0,1,10
110,6,14,0,1,25
320,9,47,4,14,160
430,26,45,5,12,115
190,7,19,0,13,170
290,8,42,4,13,140
120,4,12,0,8,100
250,7,35,0,10,150
260,6,40,0,11,150
250,9,32,0,12,180
180,7,18,0,12,160
130,4.5,13,0,8,115
230,6,36,4,9,90
250,7,37,0,10,150
200,4,34,0,7,95
260,9,34,0,11,180
190,4,30,0,7,100
300,8,47,0,10,190
190,7,19,0,12,160
190,7,19,0,12,160
45,1,5,0,3,40
250,6,37,0,12,150
360,11,53,0,14,240
350,4.5,64,0,15,0
110,0,24,0,3,200
280,2.5,60,2,4,220
140,0.5,28,1,4,180
200,6,28,0,10,135
200,6,28,0,10,135
320,5,53,8,20,170
300,2,60,7,16,130
